sample,method,threshold,sig,p_value
DO224643,QP,0.05,COSMIC_3,1
DO224643,QP,0.1,COSMIC_3,1
DO224643,QP,0.2,COSMIC_3,1
DO224647,QP,0,COSMIC_3,9.25E-19
DO224647,QP,0.01,COSMIC_3,1
DO224647,QP,0.05,COSMIC_3,1
DO224647,QP,0.1,COSMIC_3,1
DO224647,QP,0.2,COSMIC_3,1
DO224650,QP,0,COSMIC_3,1.64E-25
DO224650,QP,0.01,COSMIC_3,1
DO224650,QP,0.05,COSMIC_3,1
DO224650,QP,0.1,COSMIC_3,1
DO224650,QP,0.2,COSMIC_3,1
DO224654,QP,0,COSMIC_3,1.67E-165
DO224654,QP,0.01,COSMIC_3,1.67E-165
DO224654,QP,0.05,COSMIC_3,1.67E-165
DO224654,QP,0.1,COSMIC_3,1.67E-165
DO224654,QP,0.2,COSMIC_3,1.67E-165
DO224658,QP,0,COSMIC_3,1.67E-165
DO224658,QP,0.01,COSMIC_3,1.67E-165
DO224658,QP,0.05,COSMIC_3,1.67E-165
DO224658,QP,0.1,COSMIC_3,1.67E-165
DO224658,QP,0.2,COSMIC_3,3.49E-144
DO224662,QP,0,COSMIC_3,1.67E-165
DO224662,QP,0.01,COSMIC_3,1.67E-165
DO224662,QP,0.05,COSMIC_3,1.67E-165
DO224662,QP,0.1,COSMIC_3,1.67E-165
DO224662,QP,0.2,COSMIC_3,1.67E-165
DO224667,QP,0,COSMIC_3,1.67E-165
DO224667,QP,0.01,COSMIC_3,1.67E-165
DO224667,QP,0.05,COSMIC_3,1.67E-165
DO224667,QP,0.1,COSMIC_3,1.67E-165
DO224667,QP,0.2,COSMIC_3,1.67E-165
DO224670,QP,0,COSMIC_3,1.67E-165
DO224670,QP,0.01,COSMIC_3,1.67E-165
DO224670,QP,0.05,COSMIC_3,1.67E-165
DO224670,QP,0.1,COSMIC_3,1.67E-165
DO224670,QP,0.2,COSMIC_3,9.02E-116
DO224676,QP,0,COSMIC_3,1.82E-09
DO224676,QP,0.01,COSMIC_3,1
DO224676,QP,0.05,COSMIC_3,1
DO224676,QP,0.1,COSMIC_3,1
DO224676,QP,0.2,COSMIC_3,1
DO224680,QP,0,COSMIC_3,1.67E-165
DO224680,QP,0.01,COSMIC_3,1.67E-165
DO224680,QP,0.05,COSMIC_3,1.67E-165
DO224680,QP,0.1,COSMIC_3,1.67E-165
